VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w
10, 15859,  2.14873, -40.44955,  1.5441,  0.32283, -0.04724,  0.94488,  1.00,  0.61417, -0.29134,  0.73228, -1.00,  0.33726,  0.01789,  0.29168,  0.6388,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
11, 15860,  0.00, -42.64172,  2.46816,  0.00,  0.13386,  0.99213,  1.00,  0.61417, -0.29134,  0.73228,  1.00,  0.36116,  0.01817,  0.45173,  0.47797,  0.99608,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.72941,  0.20,  0.04314,  0.02745,  0.00,  0.00,  0.00,  0.00
12, 15861,  0.00, -37.55466,  2.40493,  0.00,  0.02362,  1.00,  1.00,  0.62205,  0.23622,  0.74803, -1.00,  0.32744,  0.01817,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.38431,  0.3451,  0.27059,  0.00,  0.00,  0.00,  0.00,  0.00
13, 15862,  2.14873, -40.44955,  1.5441,  0.32283, -0.04724,  0.94488,  1.00,  0.62205,  0.23622,  0.74803,  1.00,  0.33726,  0.01789,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
14, 15863,  0.00, -40.45039,  3.33658,  0.00, -0.0315,  1.00,  1.00,  0.62205,  0.23622,  0.74803,  1.00,  0.33726,  0.0022,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
15, 15864,  1.58798, -42.21622,  1.55351,  0.64567,  0.31496,  0.70079,  1.00,  0.70079, -0.68504,  0.20472, -1.00,  0.34772,  0.05628,  0.92892,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.67843,  0.12941,  0.11765,  0.07451,  0.00,  0.00,  0.00,  0.00
16, 15865,  3.52339, -40.46186,  0.84599,  0.3937, -0.02362,  0.92126,  1.00,  0.66142, -0.51969,  0.54331, -1.00,  0.33726,  0.05499,  0.92793,  0.91189,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
17, 15866,  1.60959, -42.21502,  1.48304,  0.85827,  0.07874,  0.50394,  1.00,  0.83465, -0.07087,  0.54331, -1.00,  0.34772,  0.05857,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.67059,  0.13725,  0.11765,  0.07451,  0.00,  0.00,  0.00,  0.00
18, 15867, -1.60959, -42.21502,  1.48304, -0.85827,  0.07874,  0.50394,  1.00, -0.83465, -0.07087,  0.54331,  1.00,  0.34772,  0.05857,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.52549,  0.28235,  0.11765,  0.07451,  0.00,  0.00,  0.00,  0.00
19, 15868, -3.52339, -40.46186,  0.84599, -0.3937, -0.02362,  0.92126,  1.00, -0.66142, -0.51969,  0.54331,  1.00,  0.33726,  0.05499,  0.92793,  0.91189,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
20, 15869, -1.58798, -42.21622,  1.55351, -0.64567,  0.31496,  0.70079,  1.00, -0.70079, -0.68504,  0.20472,  1.00,  0.34772,  0.05628,  0.92892,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.66667,  0.1451,  0.11373,  0.07451,  0.00,  0.00,  0.00,  0.00
21, 15870,  0.00, -40.45039,  3.33658,  0.00, -0.0315,  1.00,  1.00, -0.62205,  0.23622,  0.74803, -1.00,  0.33726,  0.0022,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
22, 15871, -2.14873, -40.44955,  1.5441, -0.32283, -0.04724,  0.94488,  1.00, -0.62205,  0.23622,  0.74803, -1.00,  0.33726,  0.01789,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
23, 15872,  0.00, -37.55466,  2.40493,  0.00,  0.02362,  1.00,  1.00, -0.62205,  0.23622,  0.74803,  1.00,  0.32744,  0.01817,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.38431,  0.3451,  0.27059,  0.00,  0.00,  0.00,  0.00,  0.00
24, 15873,  0.00, -42.64172,  2.46816,  0.00,  0.13386,  0.99213,  1.00, -0.61417, -0.29134,  0.73228, -1.00,  0.36116,  0.01817,  0.45173,  0.47797,  0.99608,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.72941,  0.20,  0.04314,  0.02745,  0.00,  0.00,  0.00,  0.00
25, 15874, -2.14873, -40.44955,  1.5441, -0.32283, -0.04724,  0.94488,  1.00, -0.61417, -0.29134,  0.73228,  1.00,  0.33726,  0.01789,  0.29168,  0.6388,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
26, 15875,  0.00, -40.45039,  3.33658,  0.00, -0.0315,  1.00,  1.00, -0.61417, -0.29134,  0.73228,  1.00,  0.33726,  0.0022,  0.43793,  0.59659,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
27, 15876, -2.35687, -44.32371,  1.54699,  0.37008, -0.24409,  0.89764,  1.00, -0.40157,  0.27559,  0.87402, -1.00,  0.42234,  0.04844,  0.9282,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
28, 15877, -0.91773, -42.71852,  1.70998, -0.46457, -0.67717,  0.56693,  1.00, -0.40157,  0.27559,  0.87402, -1.00,  0.37664,  0.04872,  0.92952,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.73725,  0.13333,  0.07843,  0.05098,  0.00,  0.00,  0.00,  0.00
29, 15878,  0.00, -43.59713,  2.41027,  0.00, -0.40945,  0.91339,  1.00, -0.40157,  0.27559,  0.87402, -1.00,  0.37667,  0.01934,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 0, 3, 0, 0, 0, 0, 0, 0,  0.91373,  0.08627,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
30, 15879,  2.35687, -44.32371, -1.54699, -0.37008, -0.24409, -0.89764,  1.00,  0.40157,  0.27559, -0.87402, -1.00,  0.42234,  0.04844,  0.9282,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
31, 15880,  0.91773, -42.71852, -1.70998,  0.46457, -0.67717, -0.56693,  1.00,  0.40157,  0.27559, -0.87402, -1.00,  0.37664,  0.04872,  0.92952,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.66667,  0.1451,  0.11373,  0.07451,  0.00,  0.00,  0.00,  0.00
32, 15881,  0.00, -43.59713, -2.41027,  0.00, -0.40945, -0.91339,  1.00,  0.40157,  0.27559, -0.87402, -1.00,  0.37667,  0.01934,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 0, 3, 0, 0, 0, 0, 0, 0,  0.91373,  0.08627,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
33, 15882,  0.00, -42.64172, -2.46816,  0.00,  0.13386, -0.99213,  1.00,  0.61417, -0.29134, -0.73228, -1.00,  0.36116,  0.01817,  0.45173,  0.47797,  0.99608,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.72941,  0.20,  0.04314,  0.02745,  0.00,  0.00,  0.00,  0.00
34, 15883,  2.14873, -40.44955, -1.5441,  0.32283, -0.04724, -0.94488,  1.00,  0.61417, -0.29134, -0.73228,  1.00,  0.33726,  0.01789,  0.29168,  0.6388,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
35, 15884,  0.00, -40.45039, -3.33658,  0.00, -0.0315, -1.00,  1.00,  0.61417, -0.29134, -0.73228,  1.00,  0.33726,  0.0022,  0.43793,  0.59659,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
36, 15885,  0.00, -40.45039, -3.33658,  0.00, -0.0315, -1.00,  1.00,  0.62205,  0.23622, -0.74803, -1.00,  0.33726,  0.0022,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
37, 15886,  2.14873, -40.44955, -1.5441,  0.32283, -0.04724, -0.94488,  1.00,  0.62205,  0.23622, -0.74803, -1.00,  0.33726,  0.01789,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
38, 15887,  0.00, -37.55466, -2.40493,  0.00,  0.02362, -1.00,  1.00,  0.62205,  0.23622, -0.74803,  1.00,  0.32744,  0.01817,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.38431,  0.3451,  0.27059,  0.00,  0.00,  0.00,  0.00,  0.00
39, 15888,  1.60959, -42.21502, -1.48304,  0.85827,  0.07874, -0.50394,  1.00,  0.83465, -0.07087, -0.54331,  1.00,  0.34772,  0.05857,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.67059,  0.13725,  0.11765,  0.07451,  0.00,  0.00,  0.00,  0.00
40, 15889,  3.52339, -40.46186, -0.84599,  0.3937, -0.02362, -0.92126,  1.00,  0.66142, -0.51969, -0.54331,  1.00,  0.33726,  0.05499,  0.92793,  0.91189,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
41, 15890,  1.58798, -42.21622, -1.55351,  0.64567,  0.31496, -0.70079,  1.00,  0.70079, -0.68504, -0.20472,  1.00,  0.34772,  0.05628,  0.92892,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.67843,  0.12941,  0.11765,  0.07451,  0.00,  0.00,  0.00,  0.00
42, 15891, -1.58798, -42.21622, -1.55351, -0.64567,  0.31496, -0.70079,  1.00, -0.70079, -0.68504, -0.20472, -1.00,  0.34772,  0.05628,  0.92892,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.66667,  0.1451,  0.11373,  0.07451,  0.00,  0.00,  0.00,  0.00
43, 15892, -3.52339, -40.46186, -0.84599, -0.3937, -0.02362, -0.92126,  1.00, -0.66142, -0.51969, -0.54331, -1.00,  0.33726,  0.05499,  0.92793,  0.91189,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
44, 15893, -1.60959, -42.21502, -1.48304, -0.85827,  0.07874, -0.50394,  1.00, -0.83465, -0.07087, -0.54331, -1.00,  0.34772,  0.05857,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.52549,  0.28235,  0.11765,  0.07451,  0.00,  0.00,  0.00,  0.00
45, 15894,  0.00, -37.55466, -2.40493,  0.00,  0.02362, -1.00,  1.00, -0.62205,  0.23622, -0.74803, -1.00,  0.32744,  0.01817,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.38431,  0.3451,  0.27059,  0.00,  0.00,  0.00,  0.00,  0.00
46, 15895, -2.14873, -40.44955, -1.5441, -0.32283, -0.04724, -0.94488,  1.00, -0.62205,  0.23622, -0.74803,  1.00,  0.33726,  0.01789,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
47, 15896,  0.00, -40.45039, -3.33658,  0.00, -0.0315, -1.00,  1.00, -0.62205,  0.23622, -0.74803,  1.00,  0.33726,  0.0022,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
48, 15897,  0.00, -40.45039, -3.33658,  0.00, -0.0315, -1.00,  1.00, -0.61417, -0.29134, -0.73228, -1.00,  0.33726,  0.0022,  0.43793,  0.59659,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
49, 15898, -2.14873, -40.44955, -1.5441, -0.32283, -0.04724, -0.94488,  1.00, -0.61417, -0.29134, -0.73228, -1.00,  0.33726,  0.01789,  0.29168,  0.6388,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
50, 15899,  0.00, -42.64172, -2.46816,  0.00,  0.13386, -0.99213,  1.00, -0.61417, -0.29134, -0.73228,  1.00,  0.36116,  0.01817,  0.45173,  0.47797,  0.99608,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.72941,  0.20,  0.04314,  0.02745,  0.00,  0.00,  0.00,  0.00
51, 15900,  0.00, -43.59713, -2.41027,  0.00, -0.40945, -0.91339,  1.00, -0.40157,  0.27559, -0.87402,  1.00,  0.37667,  0.01934,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 0, 3, 0, 0, 0, 0, 0, 0,  0.91373,  0.08627,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
52, 15901, -0.91773, -42.71852, -1.70998, -0.46457, -0.67717, -0.56693,  1.00, -0.40157,  0.27559, -0.87402,  1.00,  0.37664,  0.04872,  0.92952,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.73725,  0.13333,  0.07843,  0.05098,  0.00,  0.00,  0.00,  0.00
53, 15902, -2.35687, -44.32371, -1.54699,  0.37008, -0.24409, -0.89764,  1.00, -0.40157,  0.27559, -0.87402,  1.00,  0.42234,  0.04844,  0.9282,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
54, 15903,  2.14814, -45.9071,  1.04384,  0.30709,  0.22835,  0.92126,  1.00,  0.16535, -0.41732,  0.89764,  1.00,  0.47476,  0.05446,  0.92831,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
55, 15904,  2.63845, -46.31227,  0.76377,  0.37795, -0.01575,  0.92913,  1.00,  0.58268,  0.23622,  0.77953,  1.00,  0.4804,  0.05446,  0.92785,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
56, 15905,  0.00, -44.39325,  2.14984,  0.00,  0.99213,  0.08661,  1.00,  0.62992,  0.3937,  0.66929,  1.00,  0.44415,  0.05446,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
57, 15906, -2.14814, -45.9071, -1.04384, -0.30709,  0.22835, -0.92126,  1.00, -0.16535, -0.41732, -0.89764,  1.00,  0.47476,  0.05446,  0.92831,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
58, 15907, -2.63845, -46.31227, -0.76377, -0.37795, -0.01575, -0.92913,  1.00, -0.58268,  0.23622, -0.77953,  1.00,  0.4804,  0.05446,  0.92785,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
59, 15908,  0.00, -44.39325, -2.14984,  0.00,  0.99213, -0.08661,  1.00, -0.62992,  0.3937, -0.66929,  1.00,  0.44415,  0.05446,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
60, 15909,  0.57871, -71.62594,  0.24464,  0.4252, -0.88189,  0.2126,  1.00,  0.00, -1.00,  0.00,  1.00,  0.20801,  0.14732,  0.92859,  0.91188,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
61, 15910,  0.62944, -71.62594, -4.38582E-15,  0.31496, -0.94488,  0.00,  1.00,  0.00, -1.00,  0.00, -1.00,  0.20801,  0.13868,  0.92836,  0.91189,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
62, 15911,  0.44087, -71.62594,  0.45422,  0.1811, -0.96063,  0.20472,  1.00,  0.00, -1.00,  0.00,  1.00,  0.20801,  0.15265,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
63, 15912,  0.23129, -71.62594,  0.59206,  0.15748, -0.87402,  0.45669,  1.00,  0.00, -1.00,  0.00,  1.00,  0.20801,  0.15795,  0.9294,  0.91188,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
64, 15911,  0.44087, -71.62594,  0.45422,  0.1811, -0.96063,  0.20472,  1.00,  0.00, -1.00,  0.00,  1.00,  0.20801,  0.15265,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
65, 15913,  0.00, -71.62594,  0.64279,  0.00, -0.97638,  0.2126,  1.00,  0.00, -1.00,  0.00,  1.00,  0.20801,  0.16292,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
66, 15914, -0.23129, -71.62594,  0.59206, -0.15748, -0.87402,  0.45669,  1.00,  0.00, -1.00,  0.00, -1.00,  0.20801,  0.15795,  0.9294,  0.91188,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
67, 15913,  0.00, -71.62594,  0.64279,  0.00, -0.97638,  0.2126,  1.00,  0.00, -1.00,  0.00,  1.00,  0.20801,  0.16292,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
68, 15915, -0.44087, -71.62594,  0.45422, -0.1811, -0.96063,  0.20472,  1.00,  0.00, -1.00,  0.00, -1.00,  0.20801,  0.15265,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
69, 15916,  0.00, -71.62594, -4.38582E-15,  0.00, -1.00,  0.00,  1.00,  0.00, -1.00,  0.00,  1.00,  0.19035,  0.13868,  0.92948,  0.91188,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
70, 15915, -0.44087, -71.62594,  0.45422, -0.1811, -0.96063,  0.20472,  1.00,  0.00, -1.00,  0.00, -1.00,  0.20801,  0.15265,  0.92883,  0.91188,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
71, 15913,  0.00, -71.62594,  0.64279,  0.00, -0.97638,  0.2126,  1.00,  0.00, -1.00,  0.00,  1.00,  0.20801,  0.16292,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 1, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
